Unnamed: 0,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017),province
20701,ESP,48.75,42.4969,-1.2151,Wind,107.11,Navarra
20702,ESP,30.0,41.9778,-0.5373,Wind,69.85,Huesca
20703,ESP,93.7,41.9778,-0.5373,Wind,199.27,Huesca
20704,ESP,50.0,39.0688,-1.7434,Wind,106.33,Albacete
20705,ESP,99.0,40.6197,-0.0989,Wind,247.55,Castellon/Castello
20706,ESP,32.3,40.7947,-0.8101,Wind,72.51,Teruel
20707,ESP,30.0,42.0753,-4.5005,Wind,72.42,Palencia
20708,ESP,34.0,41.8347,-5.8888,Wind,72.3,Zamora
20709,ESP,29.27,41.6377,1.4353,Wind,69.26,Lleida
20710,ESP,49.8,40.5934,-1.9095,Wind,105.91,Cuenca
20711,ESP,49.5,37.1766,-2.9502,Wind,127.51,Granada
20712,ESP,31.45,42.0357,-6.9054,Wind,74.73,Ourense
20713,ESP,1167.0,37.1843,-6.8857,Gas,2766.17,Huelva
20714,ESP,12.8,36.9402,-3.361,Hydro,24.11,Granada
20715,ESP,79.918,43.2596,-1.9688,Gas,189.43,Guipuzcoa
20716,ESP,18.801,43.3,-7.5833,Oil,39.17,Lugo
20717,ESP,36.0,42.6654,-3.5014,Wind,76.56,Burgos
20718,ESP,96.76,42.6654,-3.5014,Wind,205.78,Burgos
20719,ESP,19.5,43.3,-7.6833,Wind,41.47,Lugo
20720,ESP,33.84,42.592,-1.3604,Wind,71.96,Navarra
20721,ESP,19.5,38.4,-6.4667,Wind,33.49,Badajoz
20722,ESP,14.4,38.4,-6.4667,Wind,30.62,Badajoz
20723,ESP,49.5,40.0167,-0.65,Wind,105.27,Castellon/Castello
20724,ESP,94.0,39.9894,-0.6804,Wind,202.62,Castellon/Castello
20725,ESP,24.42,40.4288,-0.2577,Wind,51.93,Castellon/Castello
20726,ESP,49.5,41.3032,-0.7505,Wind,125.96,Zaragoza
20727,ESP,34.5,41.8341,-1.5327,Wind,80.68,Zaragoza
20728,ESP,37.51000000000001,41.8341,-1.5327,Wind,79.77,Zaragoza
20729,ESP,18.0,39.4085,-2.2017,Wind,38.28,Cuenca
20730,ESP,36.0,36.878,-4.8469,Wind,85.63,Malaga
20731,ESP,31.5,39.8833,-0.95,Wind,78.66,Valencia/Val�ncia
20732,ESP,28.0,39.9667,-0.25,Wind,58.13,Castellon/Castello
20733,ESP,18.3,43.2433,-8.9008,Wind,32.61,A Coruna
20734,ESP,28.0,36.6865,-6.1361,Wind,68.08,Cadiz
20735,ESP,13.6,37.3167,-4.05,Wind,36.27,Granada
20736,ESP,28.0,38.1144,-2.5711,Wind,69.9,Jaen
20737,ESP,18.0,42.696000000000005,-8.2465,Wind,27.04,Pontevedra
20738,ESP,14.52,40.7167,-4.45,Wind,28.21,avila
20739,ESP,24.0,38.6328,-0.8197,Wind,51.04,Alicante/Alacant
20740,ESP,32.0,37.1882,-3.6067,Wind,68.05,Granada
20741,ESP,24.0,37.1882,-3.6067,Wind,51.04,Granada
20742,ESP,24.42,41.6336,-1.2744,Wind,51.93,Zaragoza
20743,ESP,24.6,42.8233,-9.0891,Wind,49.62,Pontevedra
20744,ESP,15.0,42.0325,-1.5259,Wind,31.9,Zaragoza
20745,ESP,15.0,41.9006,-1.4199,Wind,31.9,Zaragoza
20746,ESP,21.0,36.0139,-5.6069,Wind,63.63,Ceuta
20747,ESP,40.0,36.539,-5.3868,Wind,88.83,Cadiz
20748,ESP,17.0,36.7507,-3.5179,Wind,52.34,Granada
20749,ESP,47.6,41.0983,-2.5741,Wind,101.23,Guadalajara
20750,ESP,25.5,38.8299,-3.5781,Wind,54.23,Ciudad Real
20751,ESP,16.25,38.9667,-1.2167,Wind,34.55,Albacete
