,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017)
20401,ESP,49.9,38.8145,-6.8377,Solar,100.57
20402,ESP,49.6,42.7744,-4.1676,Wind,108.87
20403,ESP,634.0,39.2628,-0.9192,Hydro,593.55
20404,ESP,83.19,42.9036,-5.1437,Hydro,174.24
20405,ESP,50.0,38.8269,-6.824,Solar,103.6
20406,ESP,619.06,42.7924,-5.634,Coal,2823.98
20407,ESP,24.0,42.7713,-0.3345,Hydro,53.23
20408,ESP,22.0,38.732,-5.5439,Hydro,47.33
20409,ESP,41.8,36.0139,-5.6069,Wind,123.94
20410,ESP,41.400000000000006,42.5741,0.1824,Hydro,78.29
20411,ESP,40.8,42.5741,0.1824,Hydro,77.16
20412,ESP,21.25,40.6336,-4.4669,Wind,58.74
20413,ESP,52.69,42.7238,-0.2817,Hydro,103.33
20414,ESP,49.38,42.4075,-7.5316,Hydro,58.89
20415,ESP,82.46000000000001,42.8206,-6.4875,Hydro,94.83
20416,ESP,24.32,40.3236,-4.2032,Hydro,52.88
20417,ESP,72.11,28.5004,-13.8627,Oil,150.24
20418,ESP,51.25,28.5004,-13.8627,Oil,106.77
20419,ESP,11.74,28.5004,-13.8627,Oil,24.46
20420,ESP,38.0,41.6704,-3.6892,Wind,82.19
20421,ESP,11.93,41.6167,0.6167,Hydro,23.73
20422,ESP,36.63,40.8667,0.7167,Wind,76.07
20423,ESP,30.0,41.4833,1.2333,Wind,76.23
20424,ESP,1119.59,36.9783,-1.9054,Coal,5107.26
20425,ESP,52.4,42.4951,1.211,Hydro,78.02
20426,ESP,570.05,36.1828,-5.42,Coal,2600.41
20427,ESP,26.4,38.15,-1.0167,Wind,77.47
20428,ESP,67.3,28.6538,-17.7867,Oil,140.22
20429,ESP,38.0,36.4469,-5.2858,Wind,94.88
20430,ESP,181.02,42.4637,-7.7237,Hydro,236.02
20431,ESP,26.3,38.827,-7.022,Solar,56.35
20432,ESP,7.2,37.28,-7.259,Solar,15.63
20433,ESP,4.8,38.958,-2.1048,Solar,10.47
20434,ESP,20.0,39.4361,-5.9333,Solar,42.98
20435,ESP,10.0,39.4359,-5.9438,Solar,19.06
20436,ESP,877.95,39.2438,-0.9317,Hydro,991.4
20437,ESP,6.0,41.206,-4.837,Solar,10.54
20438,ESP,11.2,41.4369,-2.5,Solar,23.55
20439,ESP,9.8,37.718,-4.89,Solar,19.35
20440,ESP,5.7,37.6057,-4.7677,Solar,12.09
20441,ESP,6.6,38.924,-3.257,Solar,13.32
20442,ESP,9.4,38.0016,-4.3197,Solar,19.52
20443,ESP,5.7,37.07,-6.033,Solar,11.48
20444,ESP,10.0,37.142,-3.715,Solar,22.21
20445,ESP,18.0,37.129,-3.712,Solar,46.83
20446,ESP,9.0,41.856,-0.061,Solar,16.08
20447,ESP,4.0,42.496,-2.278,Solar,6.15
20448,ESP,7.1,36.964,-6.063,Solar,14.74
20449,ESP,4.8,38.2446,-5.9657,Solar,10.95
20450,ESP,12.7,37.7336,-1.0596,Solar,30.08
20451,ESP,5.0,39.2946,-5.4885,Solar,10.02
20452,ESP,6.6,39.7199,-4.6529,Solar,13.09
20453,ESP,9.1,37.7976,-3.7977,Solar,18.85
20454,ESP,7.4,39.687,-0.852,Solar,16.51
20455,ESP,15.2,37.015,-2.176,Solar,39.96
20456,ESP,195.2,39.8964,4.2597,Oil,406.7
20457,ESP,50.0,39.8964,4.2597,Gas,118.51
20458,ESP,49.9,39.9687,-5.7417,Solar,100.61
20459,ESP,415.509,36.7495,-4.5631,Gas,984.89
20460,ESP,99.8,39.1838,-3.3119,Solar,206.75
20461,ESP,25.6,43.2347,-8.0171,Hydro,54.48
20462,ESP,66.97,42.3227,0.2438,Hydro,102.72
20463,ESP,557.2,43.1685,-8.4111,Coal,2541.79
20464,ESP,46.900000000000006,35.29,-2.94,Oil,97.71
20465,ESP,27.716,41.3217,-0.3508,Hydro,51.17
20466,ESP,322.36,41.3687,0.2765,Hydro,424.39
20467,ESP,31.866,41.6704,-3.6892,Gas,75.53
